Chip Run Info;E:\Helene-Adam-Riz-96x96-270317\jordan file\ChipRun.bml;1362290083;96.96 (136x);GE 96x96 Fast PCR+Melt v2;ROX;EvaGreen;28/03/2017 14:02:44;00:31:21;BIOMARKHD267
Application Version;4.1.3
Application Build;20140305.1515
Export Type;Table Results
Quality Threshold;0,65
Baseline Correction Method;Linear (Derivative)
Ct Threshold Method;Auto (Global)


Experiment Information;Experiment Information;Experiment Information;Experiment Information;Experiment Information;Experiment Information;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;User
Chamber;Sample;Sample;Sample;EvaGreen;EvaGreen;Ct;Ct;Ct;Ct;Ct;Tm;Tm;Tm;Defined
ID;Name;Type;rConc;Name;Type;Value;Calibrated rConc;Quality;Call;Threshold;In Range;Out Range;Peak Ratio;Comments
S12-A93;J-N4R3;Unknown;250;normalizer1bis;Reference;3,67085728587313;251,836437364127;0,556952428624378;Fail;0,0102099395112248;80,0551091675567;999;1;
S12-A91;J-N4R3;Unknown;250;gene3;Test;8,9818580443875;390,054244044821;1;Pass;0,0102099395112248;85,301769233973;999;1;
S89-A01;H20;Blank;0;normalizer1;Reference;23,6477506137708;0,000351019444932511;1;Pass;0,0102099395112248;77,5535209128711;999;1;
S89-A22;H20;Blank;0;gene1;Test;999;-1;0;Fail;0,0102099395112248;999;999;0;
S89-A29;H20;Blank;0;gene4;Test;999;-1;0;Fail;0,0102099395112248;999;999;0;
S89-A67;H20;Blank;0;gene2;Test;999;-1;0;Fail;0,0102099395112248;999;999;0;
S89-A96;H20;Blank;0;normalizer2;Reference;26,1029576873431;0,1099254934337;1;Pass;0,0102099395112248;79,0601403924726;999;1;
S89-A95;H20;Blank;0;normalizer3;Reference;24,2070788310103;0,0024266563594117;1;Pass;0,0102099395112248;77,590000089957;999;1;
S89-A93;H20;Blank;0;normalizer1bis;Reference;999;-1;0;Fail;0,0102099395112248;999;999;0;
S89-A91;H20;Blank;0;gene3;Test;999;-1;0;Fail;0,0102099395112248;999;999;0;
S11-A01;J-N4R2;Unknown;250;normalizer1;Reference;4,39544577607708;149,420323838252;0,770851430155969;Pass;0,0102099395112248;80,0311936972233;999;1;
S11-A22;J-N4R2;Unknown;250;gene1;Test;8,68438749134174;2009,96997988777;1;Pass;0,0102099395112248;82,3599961690984;999;1;
S11-A29;J-N4R2;Unknown;250;gene4;Test;10,936338159356;355,724717596629;1;Pass;0,0102099395112248;77,1176043750334;999;1;
S11-A67;J-N4R2;Unknown;250;gene2;Test;10,1681789342733;185,879967426003;0,980277838162636;Pass;0,0102099395112248;80,7163139603666;999;1;
